الرقم,السؤال,الجواب,Family_Law_Category
1,ما تعريف النفقة في نظام الأحوال الشخصية؟,"النفقة هي ما يُصرف للمنفَق عليه من مال لتأمين حاجاته الأساسية، مثل الطعام، الكسوة، السكن، والحاجيات الأخرى الضرورية، وفقًا للعرف المعمول به في المجتمع والأحكام المنصوص عليها في نظام الأحوال الشخصية.",Alimony and Maintenance 
2,على من تجب النفقة من الزوجين؟,"النفقة واجبة على كل شخص في ماله حسب قدرته المالية، وفقًا للمادة 44 من نظام الأحوال الشخصية. أما بالنسبة للزوجة، فإن نفقتها واجبة على زوجها حتى لو كانت موسرة، بينما النفقة على الزوج لا تُلزم الزوجة إلا في حالات استثنائية يقررها القاضي.",Alimony and Maintenance 
3,ما الأمور التي تشملها النفقة وفق النظام؟,"تشمل النفقة، وفقًا للمادة 45 من نظام الأحوال الشخصية، الطعام، الكسوة، السكن، والحاجيات الأساسية الأخرى الضرورية، وفق العرف المعمول به في المجتمع، مع مراعاة احتياجات المنفق عليه وقدرة المنفق ماليًا. ",Alimony and Maintenance 
4,هل يمكن أن تكون النفقة نقدًا فقط؟,"لا، النفقة ليست مقتصرة على النقد فقط، بل يجوز أن تكون نقدًا أو عينًا (مثل توفير السكن أو الطعام) أو منفعة (مثل الخدمات)، وفقًا للمادة 47 من نظام الأحوال الشخصية، حسب الاتفاق أو تقدير المحكمة. ",Alimony and Maintenance 
5,كيف يتم تقدير النفقة؟,"يتم تقدير النفقة بناءً على حال المنفق عليه من حيث احتياجاته الأساسية وسعة حال المنفق من حيث قدرته المالية، وذلك وفق المادة 46 من نظام الأحوال الشخصية، مع مراعاة العرف المعمول به في المجتمع.",Alimony and Maintenance 
6,هل يجوز زيادة النفقة أو إنقاصها؟,"نعم، يجوز زيادة النفقة أو إنقاصها تبعًا لتغير الأحوال المالية أو الاجتماعية للمنفق أو المنفق عليه، وذلك برفع دعوى أمام المحكمة. وفقًا للمادة 48 من نظام الأحوال الشخصية، لا تُسمع دعوى الزيادة أو النقصان قبل مرور سنة من تاريخ صدور الحكم، إلا في الظروف الاستثنائية التي تقدرها المحكمة بناءً على تقديرها. ",Alimony and Maintenance 
7,من أي تاريخ تستحق النفقة المستمرة؟,"تستحق النفقة المستمرة للزوجة والأولاد والوالدين من تاريخ إقامة الدعوى للمطالبة بها، وفقًا للمادة 49 من نظام الأحوال الشخصية. كما أنها تُعتبر دينًا ممتازًا يقدم على سائر الديون، باستثناء النفقة الماضية التي تخضع لأحكام الديون الأخرى.",Alimony and Maintenance 
8,هل تعتبر النفقة دينًا في ذمة المنفق؟,"نعم، تعتبر النفقة دينًا في ذمة المنفق، وهي دين ممتاز يقدم على سائر الديون باستثناء النفقة الماضية التي تخضع لأحكام الديون الأخرى، وفقًا للمادة 49 من نظام الأحوال الشخصية. ",Alimony and Maintenance 
9,ما الإجراءات المتبعة للمطالبة بالنفقة؟,"تتم المطالبة بالنفقة برفع دعوى أمام محكمة الأحوال الشخصية المختصة، ويمكن للمحكمة، بناءً على طلب المدعي، الحكم بنفقة مؤقتة أثناء نظر الدعوى إذا اقتضت الحاجة، وذلك وفق المادة 50 من نظام الأحوال الشخصية. ",Alimony and Maintenance 
10,هل تسقط النفقة بالتقادم؟,"النفقة لا تسقط إلا بالأداء (دفع المبلغ المستحق) أو الإبراء (تنازل المنفق عليه عن حقه). ومع ذلك، لا تُسمع دعوى النفقة السابقة عن مدة تزيد على سنتين من تاريخ إقامة الدعوى، مما يعني أن المطالبة بأثر رجعي محدودة بمدة سنتين فقط، ما لم يقرر القاضي خلاف ذلك في ظروف استثنائية. ",Alimony and Maintenance 
